date,open_prc,high_prc,low_prc,close_prc,base_prc,volume
2000-08-02,305000,308500,296500,303500,311000,743825
2000-08-03,309000,309000,298500,301500,303500,556342
2000-08-04,296500,300500,292500,296000,301500,472137
2000-08-07,287000,288500,279000,279000,296000,575355
2000-08-08,283000,287500,278500,279000,279000,669550
2000-08-09,284000,302000,284000,300000,279000,791495
2000-08-10,300000,308000,293000,308000,300000,816612
2000-08-11,300000,303500,294000,298000,308000,676890
2000-08-14,303000,308000,300000,301000,298000,474664
2000-08-16,325000,326500,316500,321000,301000,1038360
2000-08-17,324000,328000,317000,322000,321000,726926
2000-08-18,325000,326000,310000,310000,322000,427433
2000-08-21,310000,317000,309500,313500,310000,419000
2000-08-22,313000,323500,312000,323000,313500,554252
2000-08-23,322500,322500,308000,309500,323000,558191
2000-08-24,313000,315000,305000,311000,309500,634031
2000-08-25,309000,320000,305500,320000,311000,439289
2000-08-28,317000,319000,313000,316500,320000,352697
2000-08-29,316000,319000,308000,311000,316500,335311
2000-08-30,307000,309500,301000,301500,311000,474778
2000-08-31,295000,295000,269000,273500,301500,2282425
2000-09-01,277000,280000,271000,277000,273500,999150
2000-09-04,272000,277500,265500,267000,277000,572580
2000-09-05,263000,267000,251500,257500,267000,1595388
2000-09-06,260000,264000,254500,257500,257500,1062450
2000-09-07,247000,249000,238000,239500,257500,1678143
2000-09-08,245000,246500,239500,244000,239500,1143428
2000-09-14,230000,235500,222000,235500,244000,2122625
2000-09-15,225000,231000,215000,217500,235500,1653972
2000-09-18,200500,206000,185000,198500,217500,2926173
2000-09-19,199500,218500,195000,208000,198500,2010503
2000-09-20,230000,233000,223000,230000,208000,2068299
2000-09-21,229500,233000,216000,220000,230000,1308910
2000-09-22,192000,202500,189000,190000,220000,2065320
2000-09-25,194000,205500,192000,204500,190000,1319773
2000-09-26,195000,202000,195000,200000,204500,1168610
2000-09-27,200000,205000,198000,201500,200000,1395909
2000-09-28,205000,209500,201500,203000,201500,1049400
2000-09-29,206000,206000,197000,202000,203000,1150741
2000-10-02,192000,194000,188000,190500,202000,822417
2000-10-04,185000,197500,179500,194500,190500,1652739
2000-10-05,201000,204000,197000,197000,194500,1254995
2000-10-06,190000,195000,188000,195000,197000,1098710
2000-10-09,191000,192000,184000,184500,195000,1263995
2000-10-10,185000,190500,179500,183000,184500,1242900
2000-10-11,172500,173000,160500,161000,183000,2072111
2000-10-12,157000,164000,157000,157000,161000,1590749
2000-10-13,150000,154500,141500,151500,157000,2305962
2000-10-16,165000,169000,156500,158000,151500,2326392
2000-10-17,149000,154000,136500,137000,158000,1306045
